## [BeGaze]
## Converted from:	\\Ivr-x-1134-0601\shareddocs\sm\procenko001-002.idf
## Date:	25.04.2015 14:47:46
## Version:	BeGaze 3.5.101
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Trial
## Trial Count:	21
## Uses Plane File:	False
## Number of Samples:	39861
## Reversed:	none
## [Run]
## Subject:	procenko001-002
## Description:	Run27
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;108)
## Calibration Point 2:	Position(1728;270)
## Calibration Point 3:	Position(1440;972)
## Calibration Point 4:	Position(192;810)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1134-06012-NRB
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],L Event Info
22792699078,SMP,18,557.99,261.59,Saccade
22792703094,SMP,18,552.51,257.77,Saccade
22792707093,SMP,18,533.18,229.67,Saccade
22792711073,SMP,18,520.72,197.35,Saccade
22792714979,SMP,18,530.01,187.62,Saccade
22792719106,SMP,18,530.24,186.41,Saccade
22792723095,SMP,18,532.87,194.46,Fixation
22792727073,SMP,18,521.15,191.03,Fixation
22792730979,SMP,18,522.19,196.57,Fixation
22792735078,SMP,18,518.62,195.95,Fixation
22792739073,SMP,18,516.91,194.70,Fixation
22792743072,SMP,18,511.89,192.35,Fixation
22792747095,SMP,18,510.81,191.09,Fixation
22792751069,SMP,18,514.12,191.58,Fixation
22792755095,SMP,18,512.92,191.71,Fixation
22792759081,SMP,18,511.76,193.23,Fixation
22792763017,SMP,18,510.38,194.34,Fixation
22792767073,SMP,18,509.93,193.97,Fixation
22792771088,SMP,18,510.35,193.77,Fixation
22792775075,SMP,18,511.36,193.36,Fixation
22792779016,SMP,18,512.46,192.68,Fixation
22792783076,SMP,18,514.61,192.68,Fixation
22792787116,SMP,18,516.73,193.37,Fixation
22792791093,SMP,18,520.75,195.00,Fixation
22792795084,SMP,18,522.83,195.81,Fixation
22792799071,SMP,18,520.74,196.57,Fixation
22792803076,SMP,18,521.46,198.43,Fixation
22792807083,SMP,18,524.07,199.68,Fixation
22792810986,SMP,18,525.70,200.81,Fixation
22792815073,SMP,18,525.20,203.18,Fixation
22792818960,SMP,18,525.31,204.26,Fixation
22792822963,SMP,18,527.42,205.15,Fixation
22792827010,SMP,18,526.20,206.73,Fixation
22792830947,SMP,18,526.07,206.97,Fixation
22792834969,SMP,18,525.15,206.47,Fixation
22792838961,SMP,18,525.28,206.43,Fixation
22792843003,SMP,18,526.68,206.59,Fixation
22792846950,SMP,18,526.98,205.28,Fixation
22792850962,SMP,18,527.64,204.16,Fixation
22792854949,SMP,18,527.39,200.88,Fixation
22792859007,SMP,18,526.94,200.43,Fixation
22792862945,SMP,18,527.75,199.37,Fixation
22792866965,SMP,18,525.08,198.99,Fixation
22792870974,SMP,18,521.39,198.14,Fixation
22792874958,SMP,18,521.82,195.38,Fixation
22792878944,SMP,18,519.01,192.47,Fixation
22792882988,SMP,18,515.31,191.49,Fixation
22792886950,SMP,18,513.89,189.38,Fixation
22792890960,SMP,18,509.73,190.71,Fixation
22792894947,SMP,18,509.97,190.39,Fixation
22792898973,SMP,18,509.78,191.64,Fixation
22792902957,SMP,18,511.19,193.00,Fixation
22792906961,SMP,18,510.45,193.63,Fixation
22792910946,SMP,18,513.36,193.88,Fixation
22792914986,SMP,18,512.93,192.80,Fixation
